ticket_number,issued_date,location,ward,violation_code,violation_description,fine,ticket_queue,is_warning,registrant_type,registrant,registrant_normalized
8000000511,2024-11-06 07:46:32,331 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000523,2024-11-06 08:18:00,337 S DEARBORN ST,04,09108040,ZERO FINE WARNING - SMRT ST,0,Dismissed,true,individual,,
8000000525,2024-11-06 08:20:12,13 S DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,TRIPLE A VENTURES INC LSE,TRIPLE A VENTURES
8000000526,2024-11-06 08:16:44,433 S DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000527,2024-11-06 08:20:04,58 S DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,JKS LIMOUSINE LLC,JKS LIMOUSINE
8000000528,2024-11-06 08:29:21,1021 W LAKE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000529,2024-11-06 08:29:22,1019 W LAKE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000531,2024-11-06 08:33:21,500 W MADISON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000532,2024-11-06 08:34:21,201 S DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000533,2024-11-06 08:34:25,131 S DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000534,2024-11-06 08:36:01,555 W WASHINGTON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000536,2024-11-06 08:36:12,33 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,BARAK ALLAH CORP,BARAK ALLAH
8000000537,2024-11-06 08:38:09,10 S CLINTON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,CINTAS CORP NO 2,CINTAS CORP NO 2
8000000538,2024-11-06 08:45:21,9 S CLINTON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000539,2024-11-06 08:45:47,115 S CLINTON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,unknown,,
8000000540,2024-11-06 08:45:22,9 S CLINTON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,CINTAS CORP NO 2,CINTAS CORP NO 2
8000000541,2024-11-06 08:46:02,142 S CLINTON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,FLASH LIMOUSINE INC,FLASH LIMOUSINE
8000000542,2024-11-06 08:49:16,444 W JACKSON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000545,2024-11-06 08:51:55,141 W JACKSON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,WELLS FARGO EQP FINANCE INC LSR,WELLS FARGO EQP FINANCE
8000000546,2024-11-06 08:51:06,1145 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000547,2024-11-06 08:54:13,27 W JACKSON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,UNIVERSITY OF ILLINOIS AT CHICAGO,UNIVERSITY OF ILLINOIS AT CHICAGO
8000000548,2024-11-06 08:51:42,911 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,GELCO FLEET TRUST/LSR,GELCO FLEET
8000000549,2024-11-06 08:59:00,63 E ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000550,2024-11-06 09:01:38,118 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000551,2024-11-06 09:01:23,60 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000552,2024-11-06 09:03:44,300 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
